f_0,tf_0,f_lp_0,tf_lp_0,f_1,tf_1,f_lp_1,tf_lp_1,f_2,tf_2,f_lp_2,tf_lp_2
8.858859e-02,4.436599e+01,8.858859e-02,1.860728e+00,8.858859e-02,-4.014083e+01,8.858859e-02,1.198859e-01,8.858859e-02,-3.741187e+01,8.858859e-02,-7.092682e-01
8.908909e-02,4.690370e+01,8.908909e-02,1.337903e+00,8.908909e-02,-4.004384e+01,8.908909e-02,-1.276052e-01,8.908909e-02,-3.735487e+01,8.908909e-02,-8.209578e-01
8.958959e-02,4.992887e+01,8.958959e-02,8.203090e-01,8.958959e-02,-3.994682e+01,8.958959e-02,-3.728865e-01,8.958959e-02,-3.729810e+01,8.958959e-02,-9.318468e-01
9.009009e-02,5.378005e+01,9.009009e-02,3.078201e-01,9.009009e-02,-3.984975e+01,9.009009e-02,-6.160042e-01,9.009009e-02,-3.724155e+01,9.009009e-02,-1.041947e+00
9.059059e-02,5.937643e+01,9.059059e-02,-1.996858e-01,9.059059e-02,-3.975263e+01,9.059059e-02,-8.570031e-01,9.059059e-02,-3.718521e+01,9.059059e-02,-1.151272e+00
9.109109e-02,3.000000e+02,9.109109e-02,-7.023260e-01,9.109109e-02,-3.965546e+01,9.109109e-02,-1.095926e+00,9.109109e-02,-3.712909e+01,9.109109e-02,-1.259832e+00
9.159159e-02,6.750205e+01,9.159159e-02,-1.200213e+00,9.159159e-02,-3.955824e+01,9.159159e-02,-1.332815e+00,9.159159e-02,-3.707319e+01,9.159159e-02,-1.367638e+00
9.209209e-02,6.022891e+01,9.209209e-02,-1.693455e+00,9.209209e-02,-3.946096e+01,9.209209e-02,-1.567710e+00,9.209209e-02,-3.701749e+01,9.209209e-02,-1.474704e+00
9.259259e-02,5.699497e+01,9.259259e-02,-2.182156e+00,9.259259e-02,-3.936361e+01,9.259259e-02,-1.800651e+00,9.259259e-02,-3.696200e+01,9.259259e-02,-1.581038e+00
9.309309e-02,5.513103e+01,9.309309e-02,-2.666417e+00,9.309309e-02,-3.926620e+01,9.309309e-02,-2.031674e+00,9.309309e-02,-3.690671e+01,9.309309e-02,-1.686652e+00
9.359359e-02,5.397928e+01,9.359359e-02,-3.146334e+00,9.359359e-02,-3.916872e+01,9.359359e-02,-2.260817e+00,9.359359e-02,-3.685163e+01,9.359359e-02,-1.791556e+00
