f_fp_0,fp_0,f_fp_1,fp_1,f_fp_2,fp_2,f_fp_3,fp_3,f_fp_4,fp_4,f_fp_5,fp_5,f_fp_6,fp_6,f_fp_7,fp_7,f_bb,bb
2.734375e-02,-1.917096e+02,2.734375e-02,-2.262002e+02,2.734375e-02,-2.400962e+02,2.734375e-02,-2.461402e+02,2.734375e-02,-2.515601e+02,2.734375e-02,-2.513753e+02,2.734375e-02,-2.537473e+02,2.734375e-02,-2.549251e+02,2.734375e-02,-1.906219e+02
2.783203e-02,-1.931860e+02,2.783203e-02,-2.255560e+02,2.783203e-02,-2.395654e+02,2.783203e-02,-2.484389e+02,2.783203e-02,-2.503414e+02,2.783203e-02,-2.493219e+02,2.783203e-02,-2.543879e+02,2.783203e-02,-2.557199e+02,2.783203e-02,-1.966713e+02
2.832031e-02,-1.949414e+02,2.832031e-02,-2.253934e+02,2.832031e-02,-2.397555e+02,2.832031e-02,-2.470561e+02,2.832031e-02,-2.504411e+02,2.832031e-02,-2.497419e+02,2.832031e-02,-2.553979e+02,2.832031e-02,-2.537414e+02,2.832031e-02,-1.938795e+02
2.880859e-02,-1.939393e+02,2.880859e-02,-2.236744e+02,2.880859e-02,-2.403464e+02,2.880859e-02,-2.461382e+02,2.880859e-02,-2.499275e+02,2.880859e-02,-2.523892e+02,2.880859e-02,-2.526368e+02,2.880859e-02,-2.518847e+02,2.880859e-02,-1.856106e+02
2.929688e-02,-1.936537e+02,2.929688e-02,-2.247051e+02,2.929688e-02,-2.400252e+02,2.929688e-02,-2.475677e+02,2.929688e-02,-2.479447e+02,2.929688e-02,-2.518049e+02,2.929688e-02,-2.515269e+02,2.929688e-02,-2.519278e+02,2.929688e-02,-1.813732e+02
2.978516e-02,-1.928675e+02,2.978516e-02,-2.243925e+02,2.978516e-02,-2.405215e+02,2.978516e-02,-2.468829e+02,2.978516e-02,-2.472975e+02,2.978516e-02,-2.507290e+02,2.978516e-02,-2.521477e+02,2.978516e-02,-2.520856e+02,2.978516e-02,-1.809419e+02
3.027344e-02,-1.910266e+02,3.027344e-02,-2.230861e+02,3.027344e-02,-2.413759e+02,3.027344e-02,-2.460126e+02,3.027344e-02,-2.480693e+02,3.027344e-02,-2.511169e+02,3.027344e-02,-2.522850e+02,3.027344e-02,-2.532012e+02,3.027344e-02,-1.804268e+02
3.076172e-02,-1.889483e+02,3.076172e-02,-2.221753e+02,3.076172e-02,-2.407222e+02,3.076172e-02,-2.470535e+02,3.076172e-02,-2.489426e+02,3.076172e-02,-2.506934e+02,3.076172e-02,-2.514642e+02,3.076172e-02,-2.554981e+02,3.076172e-02,-1.773149e+02
3.125000e-02,-1.882472e+02,3.125000e-02,-2.236820e+02,3.125000e-02,-2.393780e+02,3.125000e-02,-2.487473e+02,3.125000e-02,-2.505544e+02,3.125000e-02,-2.504715e+02,3.125000e-02,-2.508410e+02,3.125000e-02,-2.560148e+02,3.125000e-02,-1.775319e+02
3.173828e-02,-1.888266e+02,3.173828e-02,-2.213727e+02,3.173828e-02,-2.404850e+02,3.173828e-02,-2.496359e+02,3.173828e-02,-2.503712e+02,3.173828e-02,-2.511945e+02,3.173828e-02,-2.518076e+02,3.173828e-02,-2.556204e+02,3.173828e-02,-1.760193e+02
3.222656e-02,-1.895365e+02,3.222656e-02,-2.200646e+02,3.222656e-02,-2.412988e+02,3.222656e-02,-2.512569e+02,3.222656e-02,-2.484513e+02,3.222656e-02,-2.510152e+02,3.222656e-02,-2.548545e+02,3.222656e-02,-2.553910e+02,3.222656e-02,-1.765049e+02
3.271484e-02,-1.921277e+02,3.271484e-02,-2.205590e+02,3.271484e-02,-2.410097e+02,3.271484e-02,-2.496538e+02,3.271484e-02,-2.489718e+02,3.271484e-02,-2.516859e+02,3.271484e-02,-2.546022e+02,3.271484e-02,-2.547011e+02,3.271484e-02,-1.785013e+02
3.320312e-02,-1.954375e+02,3.320312e-02,-2.200085e+02,3.320312e-02,-2.404414e+02,3.320312e-02,-2.479850e+02,3.320312e-02,-2.502582e+02,3.320312e-02,-2.506367e+02,3.320312e-02,-2.540958e+02,3.320312e-02,-2.564722e+02,3.320312e-02,-1.805466e+02
3.369141e-02,-1.934797e+02,3.369141e-02,-2.200188e+02,3.369141e-02,-2.420474e+02,3.369141e-02,-2.474320e+02,3.369141e-02,-2.487729e+02,3.369141e-02,-2.511792e+02,3.369141e-02,-2.525686e+02,3.369141e-02,-2.557116e+02,3.369141e-02,-1.801615e+02
3.417969e-02,-1.916068e+02,3.417969e-02,-2.203429e+02,3.417969e-02,-2.430592e+02,3.417969e-02,-2.444695e+02,3.417969e-02,-2.484079e+02,3.417969e-02,-2.522637e+02,3.417969e-02,-2.533942e+02,3.417969e-02,-2.554807e+02,3.417969e-02,-1.806258e+02
3.466797e-02,-1.921289e+02,3.466797e-02,-2.202503e+02,3.466797e-02,-2.440040e+02,3.466797e-02,-2.443169e+02,3.466797e-02,-2.485719e+02,3.466797e-02,-2.516718e+02,3.466797e-02,-2.558278e+02,3.466797e-02,-2.569397e+02,3.466797e-02,-1.814675e+02
3.515625e-02,-1.933385e+02,3.515625e-02,-2.194929e+02,3.515625e-02,-2.436541e+02,3.515625e-02,-2.458951e+02,3.515625e-02,-2.487174e+02,3.515625e-02,-2.514777e+02,3.515625e-02,-2.532030e+02,3.515625e-02,-2.548955e+02,3.515625e-02,-1.838707e+02
