f_fp_0,fp_0,f_fp_1,fp_1,f_fp_2,fp_2,f_fp_3,fp_3,f_bb,bb
6.005859e-02,-1.576498e+02,6.005859e-02,-1.746251e+02,6.005859e-02,-1.833683e+02,6.005859e-02,-1.890937e+02,6.005859e-02,-1.446572e+02
6.054688e-02,-1.557566e+02,6.054688e-02,-1.741383e+02,6.054688e-02,-1.815996e+02,6.054688e-02,-1.844016e+02,6.054688e-02,-1.435389e+02
6.103516e-02,-1.550929e+02,6.103516e-02,-1.733831e+02,6.103516e-02,-1.809607e+02,6.103516e-02,-1.835789e+02,6.103516e-02,-1.451678e+02
6.152344e-02,-1.549401e+02,6.152344e-02,-1.728067e+02,6.152344e-02,-1.813097e+02,6.152344e-02,-1.846032e+02,6.152344e-02,-1.460226e+02
6.201172e-02,-1.577124e+02,6.201172e-02,-1.716118e+02,6.201172e-02,-1.814331e+02,6.201172e-02,-1.838141e+02,6.201172e-02,-1.434064e+02
6.250000e-02,-1.559377e+02,6.250000e-02,-1.714340e+02,6.250000e-02,-1.803218e+02,6.250000e-02,-1.819246e+02,6.250000e-02,-1.427369e+02
6.298828e-02,-1.540341e+02,6.298828e-02,-1.718381e+02,6.298828e-02,-1.809251e+02,6.298828e-02,-1.826605e+02,6.298828e-02,-1.414695e+02
6.347656e-02,-1.541635e+02,6.347656e-02,-1.742255e+02,6.347656e-02,-1.817745e+02,6.347656e-02,-1.834224e+02,6.347656e-02,-1.433967e+02
6.396484e-02,-1.546023e+02,6.396484e-02,-1.754975e+02,6.396484e-02,-1.833575e+02,6.396484e-02,-1.855734e+02,6.396484e-02,-1.453472e+02
6.445312e-02,-1.538289e+02,6.445312e-02,-1.732373e+02,6.445312e-02,-1.827907e+02,6.445312e-02,-1.854906e+02,6.445312e-02,-1.446950e+02
6.494141e-02,-1.536066e+02,6.494141e-02,-1.725181e+02,6.494141e-02,-1.815064e+02,6.494141e-02,-1.845106e+02,6.494141e-02,-1.445666e+02
6.542969e-02,-1.552027e+02,6.542969e-02,-1.731167e+02,6.542969e-02,-1.808539e+02,6.542969e-02,-1.855182e+02,6.542969e-02,-1.442896e+02
6.591797e-02,-1.560600e+02,6.591797e-02,-1.741516e+02,6.591797e-02,-1.805852e+02,6.591797e-02,-1.849279e+02,6.591797e-02,-1.463168e+02
6.640625e-02,-1.563430e+02,6.640625e-02,-1.742256e+02,6.640625e-02,-1.820119e+02,6.640625e-02,-1.838041e+02,6.640625e-02,-1.471947e+02
6.689453e-02,-1.548286e+02,6.689453e-02,-1.734751e+02,6.689453e-02,-1.807970e+02,6.689453e-02,-1.842892e+02,6.689453e-02,-1.484969e+02
6.738281e-02,-1.547533e+02,6.738281e-02,-1.732949e+02,6.738281e-02,-1.808904e+02,6.738281e-02,-1.847383e+02,6.738281e-02,-1.473474e+02
6.787109e-02,-1.571515e+02,6.787109e-02,-1.734550e+02,6.787109e-02,-1.820019e+02,6.787109e-02,-1.852110e+02,6.787109e-02,-1.471935e+02
6.835938e-02,-1.568488e+02,6.835938e-02,-1.733331e+02,6.835938e-02,-1.825253e+02,6.835938e-02,-1.856573e+02,6.835938e-02,-1.479967e+02
